id,data,wuran,a,b,c,d,e,f,g,h
0,2018-12-01,中度污染,,284,126,199,9,81,1.92,12
1,2018-12-02,重度污染,,319,,242,7,86,2.58,3
2,2018-12-03,中度污染,,318,,266,2,21,0.52,45
3,2018-12-04,良,61,197,,71,2,22,0.36,38
4,2018-12-05,良,75,252,36,98,8,56,1.01,5
5,2018-12-06,优,37,107,9,38,2,15,0.36,46
6,2018-12-07,优,36,132,5,36,2,11,0.32,49
7,2018-12-08,优,38,156,8,35,3,19,0.32,47
8,2018-12-09,良,62,221,38,69,8,55,0.86,13
9,2018-12-10,良,78,244,56,88,11,63,1.1,8
10,2018-12-11,良,53,151,22,55,6,31,0.57,32
11,2018-12-12,良,54,104,27,59,7,52,0.76,17
12,2018-12-13,优,41,52,13,41,4,35,0.48,34
13,2018-12-14,良,71,153,45,73,9,62,0.93,12
14,2018-12-15,轻度污染,118,289,88,115,13,82,1.51,6
15,2018-12-16,轻度污染,101,220,66,108,7,58,1.27,29
16,2018-12-17,良,53,82,26,57,5,44,0.62,36
17,2018-12-18,良,52,68,26,56,5,48,0.74,26
18,2018-12-19,良,60,89,31,69,7,58,0.94,12
19,2018-12-20,良,81,187,53,93,9,71,1.17,5
20,2018-12-21,良,89,240,60,109,11,58,1.24,25
21,2018-12-28,优,41,124,8,41,4,15,0.36,42
22,2018-12-29,优,28,33,9,27,4,24,0.43,38
23,2018-12-30,优,31,25,13,30,4,34,0.49,27
24,2018-12-31,良,56,159,36,60,8,53,0.91,10
